Day,Time,Teacher,Location,Payment Method,Class Type,Status,Web,Payment Ref #,,
31/10/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
30/10/2019,Wednesday,7:15 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),BYL Hot Power Flow,Signed in,No,626134,
29/10/2019,Tuesday,6:00 PM,Almania,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
28/10/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
25/10/2019,Friday,7:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
24/10/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
23/10/2019,Wednesday,7:15 PM,Andy,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),BYL Hot Power Flow,Signed in,No,626134,
22/10/2019,Tuesday,6:00 PM,Almania,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
21/10/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
17/10/2019,Thursday,4:30 PM,Leticia,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,626134,
16/10/2019,Wednesday,7:15 PM,Leticia,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),BYL Hot Power Flow,Signed in,No,626134,
14/10/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
11/10/2019,Friday,7:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
10/10/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
09/10/2019,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
08/10/2019,Tuesday,6:00 PM,Almania,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
04/10/2019,Friday,7:15 PM,Aishwarya,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
03/10/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
02/10/2019,Wednesday,7:15 PM,Andy,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
30/09/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
27/09/2019,Friday,7:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
26/09/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
25/09/2019,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Express (60),Signed in,No,446800,
24/09/2019,Tuesday,6:00 PM,Lottie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Bikram Yoga,Signed in,No,446800,
23/09/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
13/09/2019,Friday,7:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
12/09/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
11/09/2019,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Express (60),Signed in,No,446800,
09/09/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
07/09/2019,Saturday,3:30 PM,Lizzie,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
06/09/2019,Friday,7:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
05/09/2019,Thursday,6:00 PM,Alessandro,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Bikram Music Beats,Signed in,No,446800,
04/09/2019,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Express (60),Signed in,No,446800,
02/09/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
30/08/2019,Friday,7:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
29/08/2019,Thursday,7:00 PM,Chloe,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
